year,month,day,ADBE,AMD,ADI,AAPL,AMAT,ADSK,GLW,HPQ,IBM,INTC,MU,MSFT,MSI,ORCL,SWKS,TER,TXN,TYL,WDC,
2010,01,29,-0.056409203,-0.11313653,-0.068691864,-0.040287849,-0.058613818,-0.028610223,-0.028583239,-0.039146911,-0.029193847,-0.021827591,-0.083147857,-0.034073438,-0.100986483,-0.025981447,-0.048520721,-0.060249148,-0.061536709,-0.026533483,-0.065260618,
2010,02,26,0.030500717,0.025437656,0.035258651,0.027506719,0.004221237,0.068898327,-0.009709104,0.033034473,0.018560259,0.028050962,0.016614887,0.009473911,0.041072339,0.028957554,0.080380203,0.02921459,0.034850728,-0.013421933,0.007254521,
2010,03,31,0.008931821,0.068903251,-0.003319421,0.060115417,0.041505137,0.022759022,0.059315875,0.020387632,0.003706871,0.035719387,0.058648653,0.009254061,0.016389969,0.018285113,0.009284956,0.048491478,0.001601126,0.013653742,0.004029768,
2010,04,30,-0.022295782,-0.009472447,0.016412546,0.045726202,0.009962972,0.063299373,-0.021136443,-0.009751453,0.002532364,0.010587,-0.044966757,0.01811485,0.003080814,0.003479883,0.032959446,0.039370664,0.028475404,-0.041299996,0.022782925,
2010,05,28,-0.020104918,-0.024626465,-0.007828428,-0.007064299,-0.025560813,-0.065076843,-0.041844625,-0.052901395,-0.010505186,-0.024803379,-0.012246372,-0.071207812,-0.013727295,-0.059222206,-0.023868848,-0.046822669,-0.027394114,-0.021151071,-0.072032019,
2010,06,30,-0.084137196,-0.068469741,-0.019955065,-0.009136931,-0.031356597,-0.079597038,-0.033125281,-0.025822957,-0.006216171,-0.0419009,-0.029657967,-0.049703441,-0.021443588,-0.021902124,0.022834647,-0.051600331,-0.020763187,-0.019426803,-0.062272469,
2010,07,30,0.036087272,0.009970737,0.027922706,0.009765059,-0.008021449,0.083733207,0.049985728,0.026847041,0.01696831,0.024949905,-0.06677459,0.049871219,0.060233556,0.042944237,0.018731699,0.042810691,0.027600161,0.024745847,-0.057992458,
2010,08,31,-0.015704667,-0.125518956,-0.024329352,-0.024573114,-0.053349173,-0.027460621,-0.061443156,-0.078237651,-0.016037076,-0.063466051,-0.052002441,-0.039088121,0.001735912,-0.034293942,0.007124535,-0.078537393,-0.030417076,0.022659504,-0.038387607,
2010,09,30,-0.025008076,0.102906739,0.051359819,0.067154307,0.051663136,0.061792767,0.066630598,0.039980813,0.037194334,0.036184874,0.047806799,0.018567521,0.054731627,0.089592705,0.064434652,0.093608432,0.071505688,0.06619346,0.070112651,
2010,10,29,0.032006706,0.013530517,0.030590827,0.025599975,0.02422435,0.053935941,0,-0.00030966,0.029595904,0.01881571,0.058780957,0.036953767,-0.019258706,0.039913614,0.044873849,0.003882846,0.039168719,0.005352477,0.052120387,
2010,11,30,-0.005433603,-0.00267259,0.023717842,0.014434004,0.005051968,-0.011026918,-0.013788502,-0.001136187,-0.004597272,0.026675185,-0.055243171,-0.020867873,-0.027461907,-0.035965766,0.045472446,0.023316546,0.031575582,0,0.019759686,
2010,12,31,0.04422382,0.050025775,0.027632219,0.015640013,0.053379115,0.034411705,0.039013568,0.002588329,0.015973733,-0.002623119,0.042696352,0.043369482,0.073378692,0.063457602,0.051132692,0.073282441,0.00945582,0.007384344,0.005155053,
2011,01,31,0.030902848,-0.018991542,0.013172024,0.021995618,0.047947638,0.027317581,0.060543897,0.035540219,0.042907406,0.008789877,0.118668287,-0.002887114,0.024239108,0.010707637,0.045196399,0.07483149,0.020072058,-0.000209248,0.001534024,
2011,02,28,0.018647631,0.070497868,0.011588378,0.017426828,0.021860382,0.014385056,0.017261309,-0.020034529,0.00137482,0.003833876,0.023656083,-0.015746871,-0.001458698,0.011638985,0.053560907,0.048015421,0.021244046,0.027767022,-0.046297005,
2011,03,31,-0.017204573,-0.029761179,-0.003081438,-0.005822594,-0.021957659,0.020771058,-0.048358271,-0.026482575,0.003181074,-0.026911189,0.013066837,-0.019892657,0.063172585,0.006972266,-0.045032756,-0.019549904,-0.012998525,0.030146431,0.0861561,
2011,04,29,0.005078003,0.024542941,0.010136741,0.002018183,0.001941418,0.008482393,0.006478113,-0.006407348,0.0195539,0.059630747,-0.005716377,0.008971853,0.011413182,0.032421768,-0.012786986,-0.043836751,0.013607324,0.019344973,0.028290226,
2011,05,31,0.013759967,-0.020521667,0.01187594,-0.002862905,-0.053794198,-0.01975304,-0.015604072,-0.033419424,-0.002296725,-0.00884049,-0.045245442,-0.01269676,0.018440217,-0.021540419,-0.091729865,-0.00243416,-0.002821565,0.010728138,-0.035809154,
2011,06,30,-0.041831842,-0.094042549,-0.021959654,-0.015454218,-0.024970774,-0.046679106,-0.045397483,-0.010036159,0.006683928,-0.006803918,-0.134698969,0.016860681,-0.016928295,-0.01695125,-0.044677706,-0.034131046,-0.031503168,0.022805908,-0.003211163,
2011,07,29,-0.054984124,0.021218884,-0.056062295,0.065686537,-0.023665212,-0.050028862,-0.057208508,-0.014931239,0.02532243,0.003319303,-0.006433403,0.022775872,-0.010985832,-0.031105731,0.041940886,-0.040249415,-0.040913441,-0.021440737,-0.023547547,
2011,08,31,-0.040547175,-0.031275356,-0.01443894,-0.006329862,-0.033725847,-0.086309334,-0.023272332,-0.130698311,-0.02245711,-0.040883233,-0.09588312,-0.010135891,-0.027969699,-0.037194513,-0.08879175,-0.047227428,-0.055019467,-0.004452585,-0.067639777,
2011,09,30,-0.0188127,-0.128556991,-0.023926817,-0.003978011,-0.038693465,-0.006360562,-0.084940076,-0.061952361,0.007414156,0.025246639,-0.069157971,-0.028856153,0.000338153,0.010245042,-0.06019302,-0.040998069,0.007229044,0.000859819,-0.059404336,
2011,10,31,0.085218374,0.059804842,0.068276232,0.025929104,0.075456563,0.095187552,0.063011684,0.073827072,0.023586961,0.060783329,0.044984873,0.029346292,0.049051311,0.057859264,0.04257917,0.114156286,0.064172648,0.096497512,0.01526291,
